name,x,y,theta,stability,x_range_m,y_range_m,yaw_std_deg
start,-0.747,0.303,-0.113,usable,0.0003,0.0344,0.499
board_1,-0.012,0.274,-0.01,good,0.0,0.0024,0.492
board_2,-0.214,2.619,-2.936,usable,0.0349,0.051,2.29
window_A,-0.668,1.259,0.996,good,0.0041,0.0027,0.291
window_B,-0.573,0.296,-0.679,good,0.0289,0.0236,0.929
window_C,0.75,1.685,1.434,usable,0.0073,0.0476,0.959
lab_window_1,-0.98,0.608,-0.93,good,0.0059,0.0044,0.723
lab_window_2,-0.13,2.172,-1.548,usable,0.0209,0.0481,0.49
lab_window_3,-0.947,1.833,-1.783,usable,0.0048,0.0635,0.431
lab_window_4,-0.059,0.977,-1.181,usable,0.0387,0.0047,1.13
